transaction_id,transaction_datetime,transaction_type,amount,origin_account,destination_account,old_balance_origin,new_balance_origin,old_balance_destination,new_balance_destination,is_fraud,is_flagged_fraud,merchant_category,location,channel
TXN-a680ab00-5ee4-400a-b8bf-0c532b5f2e82,2025-01-02 03:14:25,DEBIT,2276.34,ACC24821786,ACC87061479,13795.26,11518.92,14419.92,16696.26,0,0,travel,Birmingham,branch
TXN-ed0d919c-706a-478f-be32-c39a7e7569a6,2025-01-02 06:16:17,PAYMENT,2268.41,ACC94914383,ACC16705248,12405.6,10137.19,7280.48,9548.89,0,0,restaurants,Manchester,branch
TXN-956e9c06-2834-4bb8-b573-1323daad42d5,2025-01-02 12:16:25,TRANSFER,3340.31,ACC49597485,ACC86206305,14649.27,11308.96,19448.56,22788.87,0,0,utilities,Birmingham,mobile_app
TXN-8cbd3235-3149-4748-bbda-9324c5c0fcc8,2025-01-02 18:48:35,CASH_OUT,3436.37,ACC35643159,ACC21490777,17618.37,14182.0,21035.51,24471.88,0,0,utilities,Edinburgh,atm
TXN-67294aec-18c6-445a-8fe1-e7ea51dbb9cf,2025-01-02 23:25:31,CASH_OUT,1529.11,ACC31062435,ACC77856130,16546.11,15017.0,26761.86,28290.97,0,0,travel,Nottingham,branch
TXN-f503558e-6785-4b33-8be5-c8addd5fdbd2,2025-01-03 01:09:01,CASH_IN,2533.88,ACC67768169,ACC25989909,10894.52,13428.4,24284.45,24284.45,0,0,financial_services,Nottingham,branch
TXN-b4534137-eec7-4234-88d1-ba4f0f6fd660,2025-01-03 06:04:40,PAYMENT,173.93,ACC90417043,ACC46795607,8438.18,8264.25,27939.97,28113.9,0,0,entertainment,Liverpool,branch
TXN-c2402570-4b20-458c-82ca-16c8e08540c4,2025-01-03 08:45:44,PAYMENT,2024.65,ACC37659807,ACC19031632,8442.89,6418.24,22981.6,25006.25,0,0,transport,Cardiff,mobile_app
TXN-66772d6d-db40-4fbc-b091-4c2bb6132cd8,2025-01-03 10:59:36,TRANSFER,9718.86,ACC51200201,ACC77388734,11579.04,1860.18,431.13,10149.99,0,0,transport,Edinburgh,online_banking
TXN-5ad36a97-6cb8-4f6d-9480-25742c2ee904,2025-01-03 13:11:40,DEBIT,1759.22,ACC84943752,ACC73609317,4780.34,3021.12,85.98,1845.2,0,0,entertainment,Manchester,online_banking
TXN-ca8cf3e2-1b9f-4316-91b9-f11e5dfb36f2,2025-01-03 13:42:42,CASH_OUT,4856.11,ACC88249598,ACC99057266,14625.48,9769.37,4240.42,9096.53,0,0,healthcare,London,card_terminal
TXN-e98a8b2a-64ff-4fc2-964b-903abddcbb0a,2025-01-03 18:07:14,CASH_OUT,396.87,ACC29978882,ACC97626101,1501.21,1104.34,21826.35,22223.22,0,0,groceries,London,mobile_app
TXN-de901c29-d766-4ef9-90fa-5f5d2bbc6559,2025-01-03 20:20:07,TRANSFER,8770.08,ACC96853189,ACC92141673,18900.67,10130.59,26530.24,35300.32,0,0,utilities,Manchester,branch
TXN-ae3779cc-bc2d-467d-9675-da44784ee303,2025-01-04 08:12:53,CASH_IN,45.69,ACC66884191,ACC19991216,3972.7,4018.39,2454.27,2454.27,0,0,utilities,Leeds,atm
TXN-bc332bdf-8fdf-467e-9d6e-4d3b7ac7cb36,2025-01-04 08:20:16,CASH_OUT,5232.68,ACC54462343,ACC56000229,19553.59,14320.91,19441.39,24674.07,0,0,utilities,Leeds,mobile_app
TXN-6f267f03-24f2-4450-baf1-6b8f32bb4ca5,2025-01-04 14:27:17,TRANSFER,1074.94,ACC80327779,ACC21173787,1369.47,294.53,26360.73,27435.67,0,0,transport,Liverpool,branch
TXN-9fb5e3fb-7f1e-49ec-b0bc-48f596cc6046,2025-01-04 15:19:30,CASH_OUT,4692.2,ACC21868737,ACC28869078,19232.79,14540.59,13838.52,18530.72,0,0,restaurants,Leeds,branch
TXN-25835806-b5b5-4b4f-8efd-12552cababd4,2025-01-04 16:48:25,PAYMENT,503.5,ACC38138531,ACC68848427,19945.57,19442.07,5397.82,5901.32,0,0,restaurants,Edinburgh,card_terminal
TXN-51813bf8-0935-421b-ba82-49a7414a2ad3,2025-01-04 17:34:23,PAYMENT,1963.44,ACC77116153,ACC30679969,15578.03,13614.59,27400.62,29364.06,0,0,utilities,Bristol,atm
TXN-a9a94832-4e95-4d0c-b81c-06f86f7a63a1,2025-01-04 17:59:49,CASH_OUT,2476.44,ACC53622663,ACC34406132,9347.7,6871.26,18309.95,20786.39,0,0,travel,Leeds,branch
TXN-6204b548-1420-4a47-a5a1-ca7ccd2e6faa,2025-01-04 21:43:58,PAYMENT,1461.34,ACC73698420,ACC45638891,15955.42,14494.08,21759.73,23221.07,0,0,utilities,Edinburgh,branch
TXN-218a5429-86f5-4f1c-aef2-76b3ea3379c0,2025-01-05 10:47:54,CASH_IN,4304.71,ACC67163632,ACC46210517,1506.9,5811.61,26803.03,26803.03,0,0,healthcare,Cardiff,mobile_app
TXN-7179045c-013e-4944-bc74-f171b189ddb3,2025-01-05 22:01:50,TRANSFER,2398.15,ACC30594121,ACC70387584,12938.74,10540.59,10864.52,13262.67,0,0,retail,Bristol,mobile_app
TXN-7db19bcd-bf6a-4724-9c5e-9c754c609629,2025-01-06 02:12:08,CASH_OUT,4839.92,ACC27137020,ACC51831217,12454.93,7615.01,5577.7,10417.62,0,0,financial_services,Newcastle,branch
TXN-413c233a-c48d-42db-82be-51b2fa006114,2025-01-06 09:59:28,CASH_IN,4070.7,ACC66537506,ACC26006675,4043.19,8113.89,1489.79,1489.79,0,0,transport,Nottingham,atm
TXN-548aa825-3080-494d-993c-c78842fbeaf7,2025-01-06 11:41:05,CASH_OUT,2441.46,ACC61186964,ACC25216804,12881.06,10439.6,27558.22,29999.68,0,0,financial_services,Liverpool,branch
TXN-f210b643-f316-4269-87b6-5e6a327d94d2,2025-01-06 16:04:10,PAYMENT,1938.91,ACC83330295,ACC39332201,16483.33,14544.42,11005.85,12944.76,0,0,financial_services,Manchester,atm
TXN-8e9aef8e-647d-45f1-bc7a-f9458e231734,2025-01-06 16:22:27,DEBIT,964.28,ACC86726461,ACC97488142,11648.56,10684.28,28626.94,29591.22,0,0,utilities,Bristol,card_terminal
TXN-c54f4539-69fa-4e22-8219-82c525e3823d,2025-01-06 17:53:38,TRANSFER,4470.08,ACC13122340,ACC55628196,16157.73,11687.65,18205.64,22675.72,0,0,financial_services,Birmingham,card_terminal
TXN-900cb1dc-4b47-41e3-9055-57fa300dc680,2025-01-06 18:54:44,CASH_OUT,1757.45,ACC49379055,ACC98470632,19544.35,17786.9,19744.78,21502.23,0,0,healthcare,Nottingham,card_terminal
TXN-a3fb6f8f-cba2-4145-aad9-992372cb8e0f,2025-01-06 20:28:51,PAYMENT,1905.26,ACC39698906,ACC29585415,6472.64,4567.38,6093.82,7999.08,0,0,groceries,Liverpool,branch
TXN-41d153c5-ac23-4f6e-b0c2-528566f68c3f,2025-01-07 03:08:07,CASH_IN,667.77,ACC67239263,ACC62602177,9467.64,10135.41,20264.88,20264.88,0,0,entertainment,Edinburgh,mobile_app
TXN-8e64cb5b-bd79-4a9b-b520-27ed560c861d,2025-01-07 04:36:54,PAYMENT,1976.01,ACC66500369,ACC80610004,4834.84,2858.83,9713.14,11689.15,0,0,transport,Edinburgh,atm
TXN-9368068c-af6b-42fd-b246-d3551c8a139f,2025-01-07 11:06:38,CASH_OUT,4884.96,ACC48048350,ACC38934853,15844.95,10959.99,4264.19,9149.15,0,0,entertainment,Edinburgh,atm
TXN-0b45bb49-ef7a-41f4-9b7a-1e39b0589765,2025-01-07 12:09:18,PAYMENT,1465.14,ACC11056868,ACC23779264,4106.63,2641.49,17082.91,18548.05,0,0,financial_services,Sheffield,branch
TXN-34ef5305-0655-4fec-9252-8ac247386fe7,2025-01-07 14:17:46,DEBIT,935.91,ACC26902822,ACC64081976,12455.71,11519.8,26997.37,27933.28,0,0,groceries,Nottingham,card_terminal
TXN-0a59191e-5846-42e9-b24a-ea68a30c3431,2025-01-07 15:56:26,CASH_OUT,8541.41,ACC71355706,ACC24888885,17486.54,8945.13,18128.68,26670.09,0,0,transport,Cardiff,online_banking
TXN-5bb7e985-056f-45c1-bf1f-b0951c165a40,2025-01-07 20:08:32,CASH_IN,4781.83,ACC68090825,ACC88533572,2779.26,7561.09,14964.86,14964.86,0,0,travel,Newcastle,card_terminal
TXN-832e5e29-8d07-448b-b3eb-17e7bfd9b2c1,2025-01-07 23:05:47,TRANSFER,6316.34,ACC28996104,ACC37409946,1385.88,0.0,14749.27,21065.61,0,0,entertainment,Manchester,branch
TXN-7f3a088b-e87c-47bc-9e60-21f9bd72d161,2025-01-07 23:36:56,CASH_IN,2165.63,ACC61341304,ACC66718851,6741.42,8907.05,13240.22,13240.22,0,0,utilities,Liverpool,card_terminal
TXN-db00f437-1c41-4ad3-a9a6-aadc601d7220,2025-01-08 06:02:27,PAYMENT,565.9,ACC51286958,ACC89865458,3064.89,2498.99,7968.97,8534.87,0,0,restaurants,Nottingham,card_terminal
TXN-aa11fad5-df58-4179-935a-72ff7916c159,2025-01-08 08:46:11,PAYMENT,2323.1,ACC86149359,ACC20570592,17586.57,15263.47,24949.97,27273.07,0,0,transport,Edinburgh,mobile_app
TXN-531c4b12-8317-4cb7-a2c6-a7eb4cf4bc17,2025-01-08 10:12:59,TRANSFER,9756.78,ACC28320921,ACC24912833,4124.0,0.0,3816.35,13573.13,0,0,travel,Nottingham,atm
TXN-53a44663-5ffb-4e82-973d-0a4735c592f0,2025-01-08 11:35:24,DEBIT,1234.98,ACC72387558,ACC84238655,15072.56,13837.58,11551.46,12786.44,0,0,financial_services,Manchester,online_banking
TXN-5d04fb59-8c56-4f55-bae0-3dbf6e6fdccc,2025-01-08 12:07:45,DEBIT,1579.54,ACC30495346,ACC38268009,4392.53,2812.99,8744.85,10324.39,0,0,utilities,Edinburgh,branch
TXN-71f8eb31-060d-43c1-9d0a-a73baf9a4792,2025-01-08 12:57:45,CASH_OUT,8177.63,ACC54326109,ACC23445578,18825.72,10648.09,19952.35,28129.98,0,0,groceries,Nottingham,atm
TXN-517cfa93-fbd7-4ede-ad60-e49695571a2c,2025-01-08 20:20:42,DEBIT,2022.69,ACC72059365,ACC51361818,9123.3,7100.61,15397.44,17420.13,0,0,groceries,Sheffield,branch
TXN-6abe1c22-5edb-48c7-a055-53ff3246b1d0,2025-01-08 22:08:31,CASH_OUT,4046.22,ACC96075527,ACC36192555,16833.45,12787.23,13379.18,17425.4,0,0,healthcare,Leeds,mobile_app
TXN-942960a6-8230-47c0-b181-a77a0cadf64f,2025-01-09 07:11:59,CASH_OUT,5844.12,ACC96702893,ACC69516344,5250.53,0.0,24382.41,30226.53,1,0,entertainment,Manchester,mobile_app
TXN-6e9ab96a-cd7b-4466-aec5-52d362f9885a,2025-01-09 08:22:02,DEBIT,423.47,ACC60762668,ACC61735818,13743.26,13319.79,27670.56,28094.03,0,0,entertainment,Manchester,atm
TXN-b8064f9d-a9fe-4fc1-8f0b-ddae6cf08347,2025-01-09 09:34:25,CASH_OUT,7725.73,ACC87396877,ACC94226031,684.19,0.0,24213.24,31938.97,0,0,transport,Nottingham,mobile_app
TXN-4f174449-f020-46d7-88b9-dc383e147bee,2025-01-09 15:06:17,DEBIT,350.24,ACC64707061,ACC54410148,4702.1,4351.86,20818.49,21168.73,0,0,healthcare,Nottingham,mobile_app
TXN-e9855d8b-1b54-47fb-949e-0c0479049b5c,2025-01-09 17:06:29,CASH_IN,4481.23,ACC22766765,ACC65710942,18368.89,22850.12,1173.61,1173.61,0,0,restaurants,Liverpool,mobile_app
TXN-267f2eac-b5b1-4d58-b608-186d34c1672a,2025-01-09 17:19:07,CASH_IN,2778.5,ACC59317149,ACC34064874,5882.73,8661.23,25660.97,25660.97,0,0,groceries,Glasgow,online_banking
TXN-81505938-a0a5-462f-a97e-de842c28fff2,2025-01-09 19:27:36,DEBIT,1436.83,ACC61866272,ACC35278389,7878.63,6441.8,11439.56,12876.39,0,0,travel,Manchester,card_terminal
TXN-1455f3b4-c71d-4371-b6a1-68f4db91efab,2025-01-09 19:42:11,CASH_OUT,7470.75,ACC18087373,ACC19263592,11608.39,4137.64,1358.69,8829.44,0,0,travel,London,mobile_app
TXN-6b413ea2-7597-4d64-b266-517cccc4a930,2025-01-09 23:08:03,PAYMENT,2211.17,ACC72312933,ACC50559278,11272.01,9060.84,27457.68,29668.85,0,0,financial_services,Manchester,card_terminal
TXN-3dae6d35-86d5-40e5-9688-554d5998e8b5,2025-01-10 00:04:45,CASH_OUT,6634.23,ACC29950518,ACC98027250,18664.35,12030.12,24321.58,30955.81,0,0,entertainment,Bristol,branch
TXN-5a4f8088-37b6-49b4-9e9b-5234214f7af5,2025-01-10 05:25:36,CASH_OUT,7425.25,ACC83227889,ACC14835614,11078.44,3653.19,12830.61,20255.86,1,0,retail,Cardiff,online_banking
TXN-f1a6104a-f056-4cb8-9e66-488b7fa927da,2025-01-10 08:20:08,PAYMENT,2043.69,ACC61414775,ACC21989814,19764.28,17720.59,12669.42,14713.11,0,0,transport,Manchester,atm
TXN-38d46fe3-b687-442a-9ed9-aadf0403ff32,2025-01-10 10:24:10,TRANSFER,7669.85,ACC41473195,ACC46468984,10473.87,2804.02,18802.45,26472.3,0,0,retail,Bristol,atm
TXN-c15d12b5-2c78-4f87-9cb4-17a578063ca4,2025-01-10 20:48:32,CASH_IN,1622.57,ACC60037465,ACC26025721,8383.51,10006.08,21608.64,21608.64,0,0,healthcare,Glasgow,online_banking
TXN-9f5b3c4a-c9e4-4020-978f-1a8737afac8a,2025-01-10 20:56:01,CASH_IN,208.67,ACC40554079,ACC44715141,1557.64,1766.31,5339.76,5339.76,0,0,financial_services,Sheffield,atm
TXN-107aa011-873e-487d-96e8-82dc00a4dc57,2025-01-11 05:16:54,CASH_OUT,4874.94,ACC89932574,ACC30689702,16007.5,11132.56,25860.43,30735.37,0,0,travel,Sheffield,online_banking
TXN-da3a7195-3e4b-4677-9a3d-6065245d6f7b,2025-01-11 17:14:31,DEBIT,503.19,ACC25503345,ACC51386492,612.14,108.95,5124.97,5628.16,0,0,financial_services,Nottingham,branch
TXN-0f8e34a5-70bd-4d3e-bf2d-3bd0bc425675,2025-01-11 18:11:57,CASH_IN,1898.3,ACC68238367,ACC96557984,9572.5,11470.8,19102.44,19102.44,0,0,retail,Cardiff,branch
TXN-62130d97-bf8e-4096-8627-26fe6a0b7879,2025-01-11 19:59:54,DEBIT,8.49,ACC45438604,ACC27933045,7014.49,7006.0,18154.79,18163.28,0,0,financial_services,Cardiff,mobile_app
TXN-597d80b2-a140-4a54-b414-22d0798b5c49,2025-01-11 20:35:07,CASH_IN,3429.79,ACC14142053,ACC39598969,8371.05,11800.84,25196.75,25196.75,0,0,restaurants,London,branch
TXN-81fa02b1-fcb6-49c1-8ce9-88337845d219,2025-01-11 23:37:58,TRANSFER,5580.12,ACC97411506,ACC20404976,13960.15,8380.03,14669.3,20249.42,0,0,healthcare,London,branch
TXN-590c3c7f-733d-4b17-8f61-7d2e5f4d685f,2025-01-12 02:19:59,CASH_IN,4025.76,ACC45311610,ACC39765498,16482.78,20508.54,14150.06,14150.06,0,0,retail,Manchester,mobile_app
TXN-49b0ac17-93c3-4255-9aaf-1bdd45ff82e0,2025-01-12 06:00:41,CASH_IN,4229.32,ACC87217700,ACC17705644,12730.07,16959.39,2300.8,2300.8,0,0,transport,Edinburgh,atm
TXN-fbe27c03-999a-4901-947b-957316529f64,2025-01-12 06:49:21,PAYMENT,2357.69,ACC67845091,ACC70242778,8950.24,6592.55,22840.39,25198.08,0,0,healthcare,Newcastle,mobile_app
TXN-91135d26-0be9-4e7d-b602-5bdbdf54fc09,2025-01-12 08:05:31,CASH_OUT,7641.04,ACC57685330,ACC39974566,3743.06,0.0,20391.37,28032.41,0,0,restaurants,Sheffield,card_terminal
TXN-550e80ca-39c7-4968-a458-91297bd70343,2025-01-12 10:14:59,PAYMENT,2320.48,ACC68743898,ACC61192463,2212.1,0.0,23606.76,25927.24,0,0,financial_services,Glasgow,atm
TXN-a2155653-d447-4aa9-8296-c8ec70ca6fd1,2025-01-12 10:44:40,PAYMENT,775.79,ACC53851498,ACC65767881,8872.38,8096.59,17387.21,18163.0,0,0,entertainment,Leeds,mobile_app
TXN-9f238aa6-dc49-4c11-9b0f-efc8bacd724b,2025-01-12 13:34:00,TRANSFER,3607.4,ACC55999465,ACC34544318,8810.52,5203.12,18654.21,22261.61,0,0,transport,Sheffield,atm
TXN-5a6bddb4-2f83-4efc-a591-f76bd5a5a2a4,2025-01-12 14:19:03,TRANSFER,9959.9,ACC77839607,ACC71368457,9389.62,0.0,26372.27,36332.17,0,0,utilities,Leeds,branch
TXN-ccd1ee4d-7b9c-429d-ab56-acbe1944e4b6,2025-01-12 15:59:09,TRANSFER,8754.36,ACC25755285,ACC41802361,741.38,0.0,7884.46,16638.82,0,0,utilities,Edinburgh,atm
TXN-2dbbe262-761b-458e-8fd5-ad50848d37c2,2025-01-12 18:38:01,CASH_OUT,274.36,ACC62938641,ACC36098642,10814.4,10540.04,13363.74,13638.1,0,0,travel,Bristol,online_banking
TXN-56c95491-de8f-4dc8-b6b2-383d05b84115,2025-01-12 21:03:04,PAYMENT,2490.59,ACC22714930,ACC89438729,8100.34,5609.75,6776.58,9267.17,0,0,retail,Liverpool,atm
TXN-d3290eca-27ec-4207-94a5-c418b6388096,2025-01-13 00:32:38,TRANSFER,6088.43,ACC29142470,ACC51546065,19164.51,13076.08,17007.03,23095.46,0,0,healthcare,Manchester,card_terminal
TXN-785030f5-59c7-4db8-91d4-872b8aabebd4,2025-01-13 01:22:26,PAYMENT,2298.18,ACC71789789,ACC57735307,10274.3,7976.12,17120.05,19418.23,0,0,entertainment,Birmingham,atm
TXN-405f7332-76d1-49f7-ab99-861d1fcf5a02,2025-01-13 11:50:55,DEBIT,792.55,ACC58533442,ACC92245683,267.53,0.0,20223.09,21015.64,0,0,restaurants,Birmingham,branch
TXN-ed9f1a1e-af01-431a-9ca6-04c6ac9d52dc,2025-01-13 13:45:28,CASH_IN,3627.05,ACC61538339,ACC12780443,2832.1,6459.15,22513.33,22513.33,1,0,transport,London,mobile_app
TXN-dddb9fe5-0667-4772-95c5-d8e409981a43,2025-01-13 17:27:27,CASH_IN,4425.07,ACC87585294,ACC97371655,9912.33,14337.4,11361.38,11361.38,0,0,utilities,Birmingham,online_banking
TXN-506cfd47-f0fc-458b-9673-f348935f894c,2025-01-13 17:46:50,CASH_IN,130.74,ACC23429380,ACC37636546,6398.64,6529.38,17110.61,17110.61,0,0,retail,Nottingham,card_terminal
TXN-0e033e00-2631-4db6-85bc-3ba10a8c3e2d,2025-01-13 19:43:32,CASH_IN,4301.05,ACC32569515,ACC48299260,6415.91,10716.96,7715.33,7715.33,0,0,entertainment,Birmingham,mobile_app
TXN-87d401e9-34f0-4db6-beaa-980fb443dd71,2025-01-13 22:32:03,CASH_OUT,4216.92,ACC58573570,ACC82440371,11198.44,6981.52,5757.09,9974.01,0,0,healthcare,Leeds,atm
TXN-ef8b9700-a941-4c1a-9d1d-f29f2a990392,2025-01-14 00:11:15,DEBIT,148.45,ACC56938851,ACC34985664,217.23,68.78,13810.62,13959.07,0,0,financial_services,Bristol,branch
TXN-b027cee1-fe83-4dc4-9755-a6c12effe208,2025-01-14 01:48:56,TRANSFER,1807.62,ACC96750938,ACC43412730,5590.92,3783.3,18223.44,20031.06,0,0,transport,Leeds,branch
TXN-404451f7-340b-4311-8fde-64ca5dd2cdcd,2025-01-14 02:42:05,CASH_IN,3999.99,ACC55876720,ACC32831133,764.91,4764.9,602.34,602.34,0,0,financial_services,Birmingham,mobile_app
TXN-6c8db2f6-ebd2-4f7e-85a7-407bcf9f5f47,2025-01-14 02:54:54,CASH_IN,2164.42,ACC54012664,ACC98707076,19902.45,22066.87,5413.69,5413.69,0,0,restaurants,Liverpool,mobile_app
TXN-1f2fd3cc-bf7c-4065-93c2-78ca7acf3edf,2025-01-14 04:00:44,TRANSFER,9517.37,ACC42287747,ACC12226394,11587.12,2069.75,3061.93,12579.3,0,0,travel,Birmingham,atm
TXN-eabc8184-57cd-493d-9bdf-2301c6b3264c,2025-01-14 12:08:30,DEBIT,2098.8,ACC89770922,ACC23072680,1784.72,0.0,8105.25,10204.05,0,0,restaurants,Cardiff,branch
TXN-d0fe1fe7-d274-4f6d-8033-2524652ce123,2025-01-14 17:14:54,PAYMENT,386.79,ACC13309323,ACC77887931,17609.99,17223.2,15594.68,15981.47,0,0,travel,Sheffield,mobile_app
TXN-f6b6c595-a346-4cf0-83bb-3820f59571e6,2025-01-14 18:17:21,CASH_OUT,6679.99,ACC92020513,ACC34318675,8640.26,1960.27,14216.78,20896.77,0,0,utilities,Cardiff,online_banking
TXN-be2fd6b6-5e31-45c7-951b-c7ca3be95d8e,2025-01-14 21:42:52,DEBIT,2055.95,ACC60856575,ACC53943990,3605.86,1549.91,28676.5,30732.45,0,0,travel,Glasgow,mobile_app
TXN-82870352-f0ce-465d-afae-89ba0c6b231c,2025-01-15 00:29:03,DEBIT,2179.68,ACC33049928,ACC98020116,2215.98,36.3,16031.28,18210.96,1,0,travel,Nottingham,atm
TXN-64bca138-67b2-4204-a1ec-76f93db55835,2025-01-15 02:22:44,CASH_IN,1716.72,ACC63782042,ACC76001106,19313.4,21030.12,7574.35,7574.35,0,0,transport,Cardiff,branch
TXN-dd386d9f-39cb-4f5e-8c34-5ab6df182f4a,2025-01-15 03:27:31,TRANSFER,8529.87,ACC16159129,ACC11298197,7268.27,0.0,20303.0,28832.87,0,0,entertainment,Glasgow,mobile_app
TXN-0681e6c6-c50e-48f3-97af-22f6693a38b6,2025-01-15 04:42:06,DEBIT,433.71,ACC82001505,ACC66158469,17208.18,16774.47,12325.84,12759.55,0,0,travel,Edinburgh,mobile_app
TXN-42f9038a-1f5e-4ac6-bbff-d10a2924dc2a,2025-01-15 06:02:51,DEBIT,219.8,ACC30457766,ACC69762583,15417.45,15197.65,4444.97,4664.77,0,0,travel,Nottingham,online_banking
TXN-494645f0-867b-4cb0-aeec-7cdbe0229e5e,2025-01-15 06:54:06,TRANSFER,7483.56,ACC48238599,ACC15403110,215.62,0.0,26507.29,33990.85,0,0,entertainment,Sheffield,atm
TXN-d38339b8-a16d-4153-b360-cc82024efeb6,2025-01-15 09:49:41,CASH_OUT,7756.54,ACC79700460,ACC95872544,17153.43,9396.89,27065.0,34821.54,0,0,groceries,Birmingham,card_terminal
TXN-528feac3-dc71-41c9-b6ab-c1ca352c9ba0,2025-01-15 10:08:07,PAYMENT,859.35,ACC71012513,ACC15138168,12126.95,11267.6,6379.06,7238.41,0,0,healthcare,Birmingham,atm
TXN-e5f65ac8-91ab-4134-b1fa-b94e469e903f,2025-01-15 12:18:16,TRANSFER,3565.25,ACC43522920,ACC82359410,1113.04,0.0,14865.24,18430.49,0,0,transport,Liverpool,card_terminal
TXN-542f8fb3-0297-4ef6-850c-0fa2987c8f32,2025-01-15 14:00:34,CASH_IN,3529.56,ACC48065683,ACC71330222,11186.93,14716.49,1218.26,1218.26,0,0,restaurants,Glasgow,atm
TXN-b1e7a1d9-7008-4134-8d27-c87ceaf7b596,2025-01-15 15:03:29,TRANSFER,2699.26,ACC66846657,ACC59025393,8658.31,5959.05,20542.14,23241.4,0,0,retail,Leeds,mobile_app
TXN-ec53d73a-abfc-47ff-8bb2-9d676bcb90e4,2025-01-15 17:26:21,DEBIT,1999.94,ACC15379569,ACC28713077,14598.02,12598.08,27668.76,29668.7,0,0,healthcare,Manchester,online_banking
TXN-3f75eef0-a9bb-42b4-b4f9-fbbb408bf23c,2025-01-15 21:02:19,TRANSFER,4494.62,ACC67371791,ACC47376435,15957.33,11462.71,29290.18,33784.8,0,0,entertainment,Manchester,branch
TXN-dc9e858c-c8d0-4b0b-b186-161f4800857e,2025-01-16 06:23:53,PAYMENT,2448.82,ACC80662368,ACC51144384,4522.29,2073.47,28553.49,31002.31,0,0,travel,Manchester,branch
TXN-aacda5bf-c3b3-4405-a903-69e96cb9a904,2025-01-16 12:43:43,CASH_OUT,4877.74,ACC22559810,ACC37344675,9910.47,5032.73,25375.15,30252.89,0,0,restaurants,Birmingham,card_terminal
TXN-2bb1648b-a8af-42dd-a5cb-dc8de79bcc19,2025-01-16 17:26:13,CASH_OUT,9572.35,ACC42560305,ACC91121400,405.14,0.0,28114.79,37687.14,0,0,utilities,Sheffield,atm
TXN-1a078b73-f0d0-4a02-8b04-817b148c59d4,2025-01-16 20:19:07,PAYMENT,377.25,ACC65857931,ACC91378577,11300.51,10923.26,9115.07,9492.32,0,0,utilities,Newcastle,online_banking
TXN-c4ae148d-b278-429e-ba1d-6905a4194b6e,2025-01-16 20:39:09,PAYMENT,568.49,ACC81847296,ACC58173202,7750.04,7181.55,20677.84,21246.33,0,0,retail,Glasgow,card_terminal
TXN-fe22befd-b47a-4eb1-894f-ce77bbff2432,2025-01-17 03:44:22,PAYMENT,1568.58,ACC61479273,ACC77556678,5051.58,3483.0,20805.74,22374.32,0,0,restaurants,Birmingham,mobile_app
